"id,days in academy,speciality_academy,speciality,revealed day,speciality after promotion"
"Bogdan Pojda,481483447,,,,"
"Maciej Merkun,481725682,P123,P,123,P"
"Andrzej Grden,481713889,T36,T,36,T"
"Waldemar Szalachowski,481712756,,,,"
"Marcin Zabkowski,481719809,,,,"
"Gniewosz Kamionka,481784587,,,,"
"Emilian Kedziak,481714408,,,,"
"Piotr Kachel,481720649,H169,H,169,H"
"Wiktor Mydlowski,481701545,Q37,Q,37,Q"
"Sulibor Groszkowski,481718315,,,,"
"Daniel Gul,481702107,P26,P,26,P"
"Waldemar Pintara,481721806,T77,T,77,T"
"Mieczyslaw Wysinski,481707049,P29,P,29,P"
"Czeslaw Pokorny,481784842,,,,"
"Leonard Bafia,481716741,,,,"
"Boguslaw Ziolkowski,481712753,T29,T,29,T"
"Jedrzej Bilecki,481724168,P28,P,28,P"
"Milowit Maciejczyk,481712992,,,,"
"Ferdynand Soliman,481703733,P-1,P,-1,P"
"Ryszard Filek,481724586,,,,"
"Gawel Buczek,481720671,,,,"
"Karol Filarski,481705553,P69,P,69,P"
"Jakub Salamonski,481666945,Q29,Q,29,Q"
"Wojciech Pytlos,481702645,U49,U,49,U"
"Ignacy Rudzki,481720840,H21,H,21,H"
"Dobromysl Strozek,481589368,U60,U,60,U"
"Marek Grzeskiewicz,481719462,,,,"
"Oleksii Volotek,481712663,,,,"
"Cezary Skrzeczynski,481715019,,,,"
"Leopold Stempa,481574089,P65,P,65,P"
"Tomasz Barcz,481496254,,,,"
"Racimir Kuszaj,481711130,,,,"
"Waldemar Klimkiewicz,481633692,,,,"
"Rafal Edwardczyk,481642220,,,,"
"Feliks Antoszek,481503998,,,,"
"Piotr Lewicki,481711468,,,,"
"Lech Grabiec,481784892,P28,P,28,P"
"Tomasz Piechnik,481496326,Q46,Q,46,Q"
"Jerzy Skalski,481514223,Q8,Q,8,Q"
"Adam Witusik,481721487,T22,T,22,T"
"Witold Szczecinski,481697524,,,,"
"Albert Rus,481643369,,,,"
"Wlodzimierz Miskow,481784595,Q22,Q,22,Q"
"Edward Oblakowski,481700419,,,,"
"Waclaw Banasiewicz,481663547,Q15,Q,15,Q"
"Lech Lachowicz,481711547,U52,U,52,U"
"Bronislaw Mozdzen,481486224,Q53,Q,53,Q"
"Yakiv Kukhta,481710155,H39,H,39,H"
"Igor Pukas,481725460,H15,H,15,H"
"Czarek Guminski,481710531,Q8,Q,8,Q"
"Pawel Pytel,481639916,H133,H,133,H"
"Juliusz Bazia,481710916,,,,"
"Przemyslaw Cechowski,481486208,P105,P,105,P"
"Zygmunt Rylko,481503455,Q22,Q,22,Q"
"Lukasz Wdowczyk,481697235,P60,P,60,P"
"Florian Brdak,481535237,,,,"
"Borys Durys,481702693,,,,"
"Ireneusz Karpiak,481719415,,,,"
"Wladyslaw Bejma,481720158,U64,U,64,U"
"Jozef Pelc,481607516,,,,"
"Hubert Dratwa,481717830,Q29,Q,29,Q"
"Michal Rachubinski,481710192,,,,"
"Boleslaw Zenker,481719356,T12,T,12,T"
"Lucjan Efner,481704417,,,,"
"Franciszek Kiszka,481516586,,,,"
"Roderyk Szutenberg,481706096,T22,T,22,T"
"Waclaw Jendrzejewski,481710193,H8,H,8,H"
"Kuba Macionczyk,481700605,S13,S,13,S"
"Robert Stozek,481706472,T122,T,122,T"
"Jaroslaw Ilczuk,481507878,,,,"
"Marcin Wocial,481711014,,,,"
"Stanislaw Szczerbak,481715830,P45,P,45,P"
"Alfons Draga,481720573,P153,P,153,P"
"Jan Zimniak,481717183,H21,H,21,H"
"Anastazy Zalas,481485779,P-1,P,-1,P"
"Wlodzimierz Lysy,481701033,,,,"
"Zdzislaw Surdykowski,481486357,U52,U,52,U"
"Pawel Szelest,481784781,H148,H,148,H"
"Tarcyzjusz Fitek,481699511,,,,"
"Marcel Donajski,481720026,U15,U,15,U"
"Jacek Kepski,481695539,,,,"
"Michal Krewki,481714692,Q22,Q,22,Q"
"Bonifacy Wybraniec,481706161,,,,"
"Tomasz Furmanowski,481666783,,,,"
"Piotr Bor,481710524,T-1,T,-1,T"
"Kacper Gagorowski,481535168,H43,H,43,H"
"Michal Palimaka,481504636,Q1,Q,1,Q"
"Karol Galara,481534814,P-1,P,-1,P"
"Krystian Krusiewicz,481663544,T29,T,29,T"
"Wojciech Pieta,481504092,,,,"
"Boguslaw Rodziewicz,481712329,,,,"
"Patryk Podgorski,481711671,T95,T,95,T"
"Pawel Waldon,481706886,T8,T,8,T"
"Przemyslaw Smolnicki,481719307,,,,"
"Eugeniusz Chlop,481485055,,,,"
"Robert Prymas,481495904,H60,H,60,H"
"Eugeniusz Wielgus,481495954,,,,"
"Gniewosz Chludzinski,481716942,,,,"
"Jerzy Waniak,481725679,,,,"
"Janusz Golebowski,481701786,Q77,Q,77,Q"
"Marcel Zwolenik,481705024,U39,U,39,U"
"Mariusz Chaladaj,481714653,T6,T,6,T"
"Teodor Parkitny,481718741,P20,P,20,P"
"Lucjan Mirecki,481714147,,,,"
"Walter Konsek,481716934,,,,"
"Fryderyk Julkowski,481725719,,,,"
"Piotr Zbrzezny,481666872,H38,H,38,H"
"Denys Ohiria,481714412,,,,"
"Ireneusz Lewaciak,481714507,,,,"
"Krzysztof Gasiewicz,481702554,P-1,P,-1,P"
"Franciszek Smulski,481642895,,,,"
"Gabriel Majerczyk,481725096,,,,"
"Jerzy Graczkowski,481720737,Q1,Q,1,Q"
"Marcin Trus,481715453,,,,"
"Wilhelm Piechaczek,481496216,Q9,Q,9,Q"
"Bogdan Sulek,481712766,,,,"
"Lukasz Jankowicz,481695833,,,,"
"Daniel Dziadko,481725244,,,,"
"Maciej Kludka,481716313,H1,H,1,H"
"Andrzej Zuzanski,481535402,T1,T,1,T"
"Karol Sadkowski,481725296,Q51,Q,51,Q"
"Zenon Staszalek,481485198,U1,U,1,U"
"Albert Laudanski,481711009,Q130,Q,130,Q"
"Grzegorz Owczarczak,481710552,,,,"
"Miroslaw Usarek,481706312,Q1,Q,1,Q"
"Feliks Buczel,481724488,,,,"
"Artem Barylko,481696666,,,,"
"Franciszek Bernacki,481616522,,,,"
"Stanislaw Haponiuk,481710108,U99,U,99,U"
"Edmund Pasko,481702478,H14,H,14,H"
"Przemyslaw Sekielko,481503939,T113,T,113,T"
"Franciszek Madela,481504093,,,,"
"Fabian Zalejski,481711905,,,,"
"Maksym Dygula,481534904,T22,T,22,T"
"Kuba Bubela,481708728,,,,"
"Lukasz Dziadak,481679969,T59,T,59,T"
"Ireneusz Nasiadek,481724687,,,,"
"Marcin Hajdukiewicz,481719568,,,,"
"Bronislaw Rukat,481713659,,,,"
"Cezary Skarbek,481718341,,,,"
"Sylwester Urbanowicz,481637338,T18,T,18,T"
"Marcin Sitek,481694579,,,,"
"Ryszard Kazubski,481711418,T-1,T,-1,T"
"Marcin Grabowski,481639870,,,,"
"Franciszek Madela,481504093,,,,"
"Fabian Zalejski,481711905,,,,"
"Piotr Kempka,481713095,U10,U,10,U"
"Wlodzimierz Mlodecki,481712957,,,,"
"Waldemar Haja,481720474,P43,P,43,P"
"Maciej Drobik,481514741,,,,"
"Patryk Bastek,481717471,T8,T,8,T"
"Henryk Lopinski,481720655,,,,"
"Daniel Tokarek,481707062,,,,"
"Marcin Szymanek,481725272,,,,"
"Ferdynand Drozdzewski,481700870,H86,H,86,H"
"Edward Pozoga,481711276,,,,"
"Albert Klukowski,481698080,U10,U,10,U"
"Arkadiusz Zalech,481487035,,,,"
"Michal Otocki,481484599,,,,"
"Edward Szumilas,481697779,,,,"
"Emil Mitula,481701788,,,,"
"Teofil Cyrek,481486876,,,,"
"Jakub Lewicki,481496037,,,,"
"Franciszek Nowotniak,481724100,,,,"
"Kuba Rurek,481720309,,,,"
"Karol Ciochon,481640299,,,,"
"Krystian Mozejko,481711442,T-1,T,-1,T"
"Pawel Pawlewski,481503898,,,,"
"Jan Siemieniuk,481702565,U56,U,56,U"
"Witold Gorczak,481697687,U-1,U,-1,U"
"Cezary Krzyszycha,481514477,P1,P,1,P"
"Marian Galor,481487048,,,,"
"Patryk Rosik,481503781,H32,H,32,H"
"Marcin Just,481485958,U-1,U,-1,U"
"Marian Klyz,481487027,,,,"
"Pavlo Vallonenko,481704391,,,,"
"Remigiusz Zajko,481637316,P44,P,44,P"
"Benedykt Zytni,481713745,,,,"
"Lech Miklaszewski,481713302,,,,"
"Slawomir Pietrzycki,481679823,U0,U,0,U"
"Arkadiusz Faszcza,481694653,U80,U,80,U"
"Marcin Kostecki,481703631,Q2,Q,2,Q"
"Tomasz Sadecki,481699512,,,,"
"Arkadiusz Bartoszuk,481508401,,,,"
"Walenty Kud,481515956,Q-1,Q,-1,Q"
"Przemyslaw Dolna,481706290,,,,"
"Jedrzej Srodecki,481715181,,,,"
"Artur Walkowiak,481711510,Q12,Q,12,Q"
"Jerzy Golunski,481718482,H-1,H,-1,H"
"Oskar Potrzebowski,481607511,P18,P,18,P"
"Przemyslaw Gidzinski,481713693,,,,"
"Baltazar Jarubas,481717687,U2,U,2,U"
"Wlodzimierz Sulima,481705477,,,,"
"Gordon Berowski,481704584,,,,"
"Zdzislaw Sucharzewski,481705628,,,,"
"Zdzislaw Sucharzewski,481705628,,,,"
"Daniel Polit,481496318,,,,"
"Roman Ciota,481639949,,,,"
"Miroslaw Kosciow,481533768,Q39,Q,39,Q"
"Tomasz Dudek,481486556,,,,"
"Bogdan Szluga,481725604,,,,"
"Radoslaw Armatys,481706941,P44,P,44,P"
"Aleksander Kalupa,481586329,,,,"
"Borys Zbroja,481711204,,,,"
"Ernest Medza,481784650,H-1,H,-1,H"
"Sebastian Konwerski,481516424,,,,"
"Ferdynand Szwedo,481556033,,,,"
"Mathias Seibezeder,481705855,,,,"
"Lucjan Hryciuk,481785180,,,,"
"Maciej Frankowski,481702482,,,,"
"Krzysztof Kostrz,481619217,Q4,Q,4,Q"
"Kleofas Rzemieniewski,481607437,,,,"
"Franciszek Faryniarz,481711435,,,,"
"Patryk Matyja,481724562,U3,U,3,U"
"Gniewosz Tyczynski,481721558,T46,T,46,T"
"Aleksander Maj,481508510,,,,"
"Dariusz Prus,481485962,,,,"
"Jakub Miera,481484609,,,,"
"Edward Mokry,481700943,H0,H,0,H"
"Patrycjusz Jaskulski,481496165,Q-1,Q,-1,Q"
"Marian Muskala,481704021,T1,T,1,T"
"Sedziwoj Konopa,481503775,,,,"
"Szymon Tokajuk,481488131,T6,T,6,T"
"Hubert Juroszek,481785838,,,,"
"Wojciech Lukasiak,481786130,,,,"
"Cyprian Laz,481534882,,,,"
"Daniel Poliszuk,481714409,P40,P,40,P"
"Bartosz Szkop,481706478,U9,U,9,U"
"Roman Zydulak,481570798,,,,"
"Jozef Met,481535543,,,,"
"Maciej Olchowski,481702224,Q16,Q,16,Q"
"Igor Piskorz,481448079,U16,U,16,U"
"Wlodzimierz Stachon,481799442,,,,"
"Volodymyr Buriak,481833175,Q,Q,,Q"
"Czeslaw Golanski,481819085,,,,"
"Dariusz Porycki,481796251,P,P,,P"
"Cezary Adamor,481828828,T,T,,T"
"Czarek Rakowiecki,481838271,,,,"
"Marcin Przygrodzki,481846159,Q,Q,,Q"
"Czarek Rakowiecki,481838271,,,,"
"Marcin Przygrodzki,481846159,Q,Q,,Q"
"Franciszek Ochlik,481821450,P,P,,P"
"Mykyta Fatii,481839563,,,,"
"Kuba Kraszkiewicz,481839871,,,,"
"Ludwik Stryjecki,481792902,U,U,,U"
"Jan Poteralski,481804196,,,,"
"Czeslaw Koniarek,481847783,U,U,,U"
"Mats Wohlrabb,481835970,P,P,,P"
"Radomir Paliszewski,481814906,U126,U,126,U"
"Edmund Bodzak,481805598,,,,"
"Wincenty Grygar,481820139,,,,"
"Drogomil Maciorowski,481839537,,,,"
"Herman Mortka,481805631,H,H,,H"
"Dobrociech Labus,481839778,,,,"
"Jan Czujko,481841797,,,,"
"Bogumil Tutaj,481853256,,,,"
"Zenon Karpowicz,481838946,,,,"
"Norbert Druzba,481821760,,,,"
"Edward Majczyna,481795293,,,,"
"Bogdan Smurzynski,481843935,H,H,,H"
"Piotr Grzenia,481840869,,,,"
"Maciej Pastuszczak,481785139,T,T,,T"
"Krzysztof Kryczka,481827386,,,,"
"Dominik Ostrowicz,481816242,H,H,,H"
"Rafal Szostak,481796661,,,,"
"Konstanty Natkaniec,481850547,,,,"
"Jozef Kwiek,481798179,Q,Q,,Q"
"Filip Kiryluk,481843181,,,,"
"Tomasz Gryckiewicz,481812049,U238,U,238,U"
"Tomasz Czesinski,481842490,,,,"
"Szymon Budzicki,481798543,U146,U,146,U"
"Sebastian Budzik,481839834,P107,P,107,P"
"Emilian Horszczaruk,481847909,H139,H,139,H"
"Marceli Siedlik,481841820,T,T,,T"
"Miroslaw Okarma,481798303,U139,U,139,U"
"Arkadiusz Farana,481838571,,,,"
"Marcin Materna,481836862,,,,"
"Walery Walinowicz,481843959,,,,"
"Donald Gapys,481851014,,,,"
"Jaroslaw Topolewski,481845883,,,,"
"Grzegorz Laba,481841793,,,,"
"Mieczyslaw Pawlowski,481838384,Q,Q,,Q"
"Leon Hadyniak,481786306,,,,"
"Jan Broniszkiewicz,481796395,H112,H,112,H"
"Franciszek Tritt,481789164,Q,Q,,Q"
"Mariusz Kupiecki,481840575,,,,"
"Naum Davydiuk,481824647,,,,"
"Piotr Machalek,481795113,,,,"
"Jerzy Grochulski,481796205,,,,"
"Mieczyslaw Karkowski,481790690,,,,"
"Cyryl Torz,481839416,,,,"
"Aleksander Borkiewicz,481797510,U159,U,159,U"
"Aleksander Wojtkowiak,481839837,,,,"
"Daniel Koszewski,481840026,,,,"
"Kuba Bakowski,481837905,,,,"
"Grodzislaw Jop,481842029,,,,"
"Maciej Grzeszek,481806879,,,,"
"Robert Sporek,481837287,,,,"
"Boleslaw Gralec,481839168,,,,"
"Jedrzej Wilczkowski,481809572,,,,"
"Jacek Stokowiec,481847144,,,,"
"Henryk Jaskula,481836746,P174,P,174,P"
"Andrzej Jozefowicz,481851267,,,,"
"Wojciech Janas,481840928,,,,"
"Patryk Orda,481828957,P166,P,166,P"
"Joachim Poszwinski,481844118,,,,"
"Stefan Kwoka,481832151,T,T,,T"
"Pawel Chodun,481838658,,,,"
"Wespazjan Ryciak,481850509,,,,"
"Amadeusz Albrecht,481848945,,,,"
"Jakub Pawlik,481836378,,,,"
"Jozef Blaszak,481839522,H,H,,H"
"Emil Wdziekonski,481839246,,,,"
"Edward Rzempulak,481848713,,,,"
"Stefan Hancyk,481848424,,,,"
"Wladyslaw Kasperek,481795969,Q134,Q,134,Q"
"Ludwik Mrotek,481844115,,,,"
"Igor Romanski,481842202,,,,"
"Romuald Mecina,481848872,U,U,,U"
"Norbert Wazny,481844837,U112,U,112,U"
"Ferdynand Witkowiak,481842229,H,H,,H"
"Mateusz Dabek,481848877,T,T,,T"
"Aleksander Ochman,481844967,,,,"
"Fabian Milski,481841010,P156,P,156,P"
"Adam Mroncz,481836007,,,,"
"Maciek Tabor,481839963,Q,Q,,Q"
"Marceli Gorczynski,481786045,,,,"
"Slawomir Kurpik,481789501,,,,"
"Wojtek Wojewnik,481797228,,,,"
"Marek Piekarek,481838739,,,,"
"Brodzislaw Matraszek,481787268,,,,"
"Bogdan Dobros,481826950,U,U,,U"
"Bartlomiej Stolarz,481832367,,,,"
"Olek Rybakowski,481845830,U192,U,192,U"
"Stanislaw Zuczek,481788252,P,P,,P"
"Lukasz Splawski,481850614,U281,U,281,U"
"Bronislaw Barczyk,481830064,,,,"
"Adrian Chwastek,481793052,Q,Q,,Q"
"Andrzej Kubina,481784890,Q,Q,,Q"
"Mariusz Klusak,481838456,H,H,,H"
"Wiktor Boguslaw,481833483,,,,"
"Jan Koziorowski,481858399,Q,Q,,Q"
"Boguslaw Pleskot,481838937,,,,"
"Pawel Wisniewski,481791931,,,,"
"Radost Kalf,481841781,,,,"
"Arkadiusz Szyndzielorz,481844885,T,T,,T"
"Andrzej Powaga,481842108,T,T,,T"
"Marek Wozniakiewicz,481838897,Q71,Q,71,Q"
"Witold Kobylarz,481840370,,,,"
"Jerzy Ciempka,481837355,,,,"
"Dzierzyslaw Goliasz,481853436,P120,P,120,P"
"Stanislaw Migdalski,481856292,,,,"
"Aleksander Zarczynski,481852412,U-1,U,-1,U"
"Jozef Krolicki,481840535,H,H,,H"
"Marcin Kobylinski,481803363,P,P,,P"
"Fryderyk Nietupski,481799496,,,,"
"Korneliusz Szabelski,481832999,,,,"
"Andrzej Bigoszewski,481828852,,,,"
"Stanislaw Schima,481797033,,,,"
"Ferdynand Zminkowski,481814319,S223,S,223,S"
"Boguslaw Barabasz,481796369,Q120,Q,120,Q"
"Eligiusz Kurowicki,481791281,,,,"
"Stanislaw Cegielak,481838971,P77,P,77,P"
"Edward Kolasa,481846096,Q78,Q,78,Q"
"Sergiusz Szwedowski,481839162,H,H,,H"
"Radoslaw Kulka,481787890,P76,P,76,P"
"Patryk Kordulec,481848180,P,P,,P"
"Juliusz Kwapiszewski,481839511,,,,"
"Jan Slupek,481831881,P94,P,94,P"
"Edward Suchecki,481815930,P175,P,175,P"
"Jakub Jarmuszkiewicz,481841118,,,,"
"Demetriusz Narozny,481832511,Q92,Q,92,Q"
"Grzegorz Kozlowicz,481840691,,,,"
"Rafal Posiadala,481836101,,,,"
"Stanislaw Gruszka,481838351,T,T,,T"
"Wiesiek Konowalczyk,481839633,Q-1,Q,-1,Q"
"Sebastian Madej,481840776,,,,"
"Ignacy Gawlas,481835946,,,,"
"Achacy Wojewoda,481833107,H179,H,179,H"
"Lucjan Drop,481791965,,,,"
"Czesiek Kaczmarek,481838094,,,,"
"Jerzy Wojciechowski,481834857,,,,"
"Witold Kobel,481800841,H175,H,175,H"
"Wolfgang Havermann,481847792,,,,"
"Marcin Falowski,481849659,Q,Q,,Q"
"Grodzislaw Jachimski,481839863,,,,"
"Witold Ligeski,481839243,,,,"
"Jacek Olewinski,481841342,,,,"
"Florian Czekala,481807879,Q,Q,,Q"
"Michal Rogoza,481841142,U,U,,U"
"Franciszek Cios,481842665,,,,"
"Maciej Jochimczyk,481847627,T284,T,284,T"
"Jan Pieczulis,481837276,,,,"
"Tomasz Nietupski,481844416,,,,"
"Sobieslaw Szylak,481840393,U,U,,U"
"Gerard Langhammer,481836267,,,,"
"Kazimierz Nogas,481838013,,,,"
"Waclaw Rudzki,481840191,U70,U,70,U"
"Sobieslaw Jakubus,481803608,,,,"
"Waclaw Pietak,481835515,,,,"
"Marek Szumanski,481832225,Q,Q,,Q"
"Kacper Zolek,481841765,S91,S,91,S"
"Eryk Siemionek,481844119,,,,"
"Stanislaw Musialek,481842185,,,,"
"Daniel Luszcz,481792183,,,,"
"Maciej Chyzewski,481819801,H,H,,H"
"Igor Zajda,481847816,U,U,,U"
"Grzegorz Kaduk,481831686,T92,T,92,T"
"Dariusz Kacprowski,481857600,H77,H,77,H"
"Adam Kanarek,481842120,P169,P,169,P"
"Heliodor Myrcha,481838433,P,P,,P"
"Andrzej Olszowka,481845275,,,,"
"Waldemar Dziewocki,481838110,,,,"
"Zdzislaw Bozek,481837301,H132,H,132,H"
"Pawel Koczy,481828819,,,,"
"Jerzy Redecki,481817894,,,,"
"Andrzej Mikolowski,481802815,H92,H,92,H"
"Jakub Starosz,481832529,,,,"
"Damian Kawka,481847956,,,,"
"Maciej Gowin,481838354,T,T,,T"
"Daniel Cupal,481820084,P,P,,P"
"Emil Borecki,481851647,U91,U,91,U"
"Ireneusz Zwierciadlowski,481844151,,,,"
"Grzegorz Kryczek,481832311,T,T,,T"
"Marcin Popielarz,481804407,,,,"
"Fryderyk Szczyglinski,481849981,H125,H,125,H"
"Grzegorz Lipert,481806793,,,,"
"Gawel Brzoski,481826415,Q168,Q,168,Q"
"Dionizjusz Nytko,481842715,,,,"
"Mieczyslaw Markiewka,481848109,,,,"
"Jaroslaw Tworkowski,481840913,P,P,,P"
"Cyprian Siewruk,481845843,,,,"
"Anzelm Rasinski,481847537,,,,"
"Henryk Siwik,481842111,,,,"
"Gabriel Doba,481850580,,,,"
"Radost Kluczny,481842707,,,,"
"Piotr Slabuszewski,481826819,P,P,,P"
"Boleslaw Zakowicz,481849594,P151,P,151,P"
"Konrad Hanslik,481791481,T119,T,119,T"
"Andrzej Maraszkiewicz,481853260,,,,"
"Michal Pardyka,481840888,,,,"
"Stanislaw Grzejszczyk,481848320,,,,"
"Przemyslaw Szkurlat,481802203,T,T,,T"
"Jakub Kilar,481815242,,,,"
"Laurencjusz Ziecina,481849530,,,,"
"Miroslaw Halupka,481836381,,,,"
"Patryk Siemianowski,481831432,P,P,,P"
"Bonifacy Chlopek,481813359,P,P,,P"
"Adrian Piechowiak,481789097,,,,"
"Wszemil Iwanczyk,481848607,T154,T,154,T"
"Jerzy Hrycak,481813668,P,P,,P"
"Symplicjusz Macyszyn,481837878,,,,"
"Stanislaw Lizak,481857070,P,P,,P"
"Jozef Szmigielski,481858469,,,,"
"Piotr Sieduszewski,481798895,P,P,,P"
"Aleksander Kleczynski,481795233,,,,"
"Slawomir Budziak,481851326,,,,"
"Anastazy Grzegorzek,481842759,,,,"
"Walery Zubowicz,481799433,,,,"
"Jacek Drygas,481854280,Q,Q,,Q"
"Wincenty Zacharewicz,481852560,P,P,,P"
"Blazej Masarczyk,481800562,,,,"
"Tomasz Pasich,481801284,,,,"
"Jozef Cisak,481833283,,,,"
"Ihor Peliak,481816050,,,,"
"Mieczyslaw Mitura,481838155,U,U,,U"
"Lucjan Wyzuj,481849878,,,,"
"Herman Kubon,481806104,P,P,,P"
"Marek Zubert,481819860,P105,P,105,P"
"Gabriel Skrzypek,481844706,,,,"
"Romuald Dankowski,481847754,,,,"
"Andrzej Baniewicz,481841400,,,,"
"Magnus Stoll,481836934,,,,"
"Czeslaw Tomkowiak,481816235,U,U,,U"
"Grzegorz Rabenda,481846686,P,P,,P"
"Marek Fogel,481789679,P,P,,P"
"Witold Przetak,481839586,P140,P,140,P"
"Tomasz Dzielak,481831344,,,,"
"Mykhailo Yanchyshyn,481841763,P-1,P,-1,P"
"Andrzej Wisniak,481805594,H312,H,312,H"
"Ernest Meyer,481837194,Q218,Q,218,Q"
"Henryk Maruszczak,481803259,Q91,Q,91,Q"
"Szymon Zawalski,481796666,,,,"
"Jeremi Gajewski,481858804,H,H,,H"
"Jozef Golembiewski,481801598,Q69,Q,69,Q"
"Waldemar Muszak,481798952,U241,U,241,U"
"Szymon Rachula,481831701,,,,"
"Gawel Cwiklinski,481844816,P,P,,P"
"Jan Wereda,481837498,,,,"
"Jedrzej Valyaev,481831339,U,U,,U"
"Ludwik Zemczak,481788339,,,,"
"Lukasz Gawryluk,481805636,,,,"
"Henryk Gajdzik,481842101,P106,P,106,P"
"Patryk Korta,481800383,,,,"
"Franciszek Mazgaj,481829242,,,,"
"Marian Laskowski,481786328,,,,"
"Marek Cimek,481852283,,,,"
"Konrad Zurawicz,481842972,,,,"
"Rafal Walioszczyk,481844962,,,,"
"Walerian Tyski,481844254,T70,T,70,T"
"Ludwik Hladki,481789230,U,U,,U"
"Joachim Radoch,481837836,,,,"
"Radoslaw Zaczek,481841475,,,,"
"Pawel Ozydlak,481832491,H123,H,123,H"
"Marian Kluba,481834381,U76,U,76,U"
"Jakub Plewka,481827166,,,,"
"Mariusz Fronk,481838820,T-1,T,-1,T"
"Fryderyk Namieta,481840343,U,U,,U"
"Miroslaw Mikolajczewski,481817835,,,,"
"Leopold Piechota,481832376,,,,"
"Sebastian Fik,481801789,,,,"
"Marek Ziemba,481836083,U,U,,U"
"Roch Kaniecki,481801551,Q,Q,,Q"
"Andrzej Wawak,481847961,,,,"
"Jerzy Zatorzak,481847823,T91,T,91,T"
"Jerzy Warta,481834924,,,,"
"Eustachy Kalski,481837449,H,H,,H"
"Jozef Kister,481796774,T,T,,T"
"Przemyslaw Pieczara,481817899,,,,"
"Jedrzej Silski,481846782,H91,H,91,H"
"Zdzislaw Rostowski,481832181,T,T,,T"
"Bogdan Kornacki,481857386,,,,"
"Chwalislaw Szczepek,481803761,,,,"
"Piotr Gut,481788600,,,,"
"Teodor Woroniecki,481819007,,,,"
"Alojzy Ramczyk,481804431,H-1,H,-1,H"
"Miroslaw Szymczyk,481841070,,,,"
"Sylweriusz Rusakiewicz,481788899,T189,T,189,T"
"Jan Kwapinski,481840032,P105,P,105,P"
"Maciej Lesiak,481823180,T,T,,T"
"Gustaw Skibinski,481836230,H,H,,H"
"Kasjan Zuchowski,481828343,,,,"
"Jaropelk Chrzescijanski,481832104,T,T,,T"
"Jakub Pieniak,481849143,Q266,Q,266,Q"
"Michal Kaczerski,481832310,Q,Q,,Q"
"Edmund Szczepanski,481791688,Q-1,Q,-1,Q"
"Dawid Merchut,481837795,,,,"
"Kasper Terpilowski,481841875,,,,"
"Ernest Szabla,481836149,Q,Q,,Q"
"Ryszard Zywiolek,481841937,Q177,Q,177,Q"
"Gerwazy Rzadkowski,481837949,,,,"
"Bogdan Studnicki,481856495,,,,"
"Wienczyslaw Lapawa,481831381,,,,"
"Tyberiusz Cekiera,481811768,,,,"
"Michal Typa,481852445,T73,T,73,T"
"Czeslaw Drela,481790129,H,H,,H"
"Jozef Zygmanowski,481828414,,,,"
"Valerii Hloba,481851482,Q-1,Q,-1,Q"
"Lucjan Ros,481858932,,,,"
"Antoni Sobierajski,481839166,U,U,,U"
"Jan Kiwajlo,481839865,,,,"
"Kazimierz Wyderka,481841320,,,,"
"Gawel Rusek,481843960,Q131,Q,131,Q"
"Joachim Rohde,481790026,T122,T,122,T"
"Wieslaw Bigajski,481850462,,,,"
"Jan Cywka,481858290,,,,"
"Rafal Bagniewski,481804593,,,,"
"Mateusz Tryka,481840545,P,P,,P"
"Jozef Kramm,481796651,,,,"
"Marek Waluk,481851703,,,,"
"Ariel Piekutkowski,481802786,H,H,,H"
"Marian Jutrzenka-Trzebiatowski,481812128,U215,U,215,U"
"Kamil Mikolowski,481853065,,,,"
"Bartlomiej Ignasiak,481849032,P,P,,P"
"Marcin Baczkowski,481842309,,,,"
"Symplicjusz Jagielinski,481802872,,,,"
"Maurycy Pantak,481818336,P,P,,P"
"Stanislaw Rodzen,481844951,,,,"
"Marcin Bluma,481836754,,,,"
"Sebastian Trochimczuk,481816908,,,,"
"Sylwester Miecznikowski,481810105,,,,"
"Adrian Bigus,481832034,P,P,,P"
"Stanislaw Kotek,481841113,,,,"
"Igor Derdzinski,481841337,P,P,,P"
"Jaroslaw Bartkiewicz,481859455,,,,"
"Jakub Kurys,481839127,,,,"
"Witold Rasztabiga,481843410,,,,"
"Pawel Nowara,481842833,U70,U,70,U"
"Abel Salata,481850931,,,,"
"Fryderyk Masajada,481795953,,,,"
"Fryderyk Przybecki,481824254,T92,T,92,T"
"Pawel Skonieczny,481838639,,,,"
"Miroslaw Chmiest,481838905,Q78,Q,78,Q"
"Slawomir Arcimowicz,481844448,,,,"
"Mateusz Kazmierski,481840670,U83,U,83,U"
"Dominik Machniak,481843366,H,H,,H"
"Franciszek Furgol,481846343,P,P,,P"
"Krzysztof Tylki,481833506,U,U,,U"
"Orest Budzikowski,481851129,Q,Q,,Q"
"Dobiemir Ciag,481840724,,,,"
"Cyprian Melnyk,481841944,P,P,,P"
"Tomasz Pazdziora,481828930,,,,"
"Cezary Latowski,481835965,P71,P,71,P"
"Andrzej Strycharczyk,481795155,P,P,,P"
"Ryszard Swierczyna,481842655,,,,"
"Czeslaw Lalka,481810913,U-1,U,-1,U"
"Pawel Syslo,481853116,,,,"
"Stanislaw Dzierzbicki,481848725,,,,"
"Ignacy Mogielski,481848948,P144,P,144,P"
"Arkadiusz Zgraja,481850665,H71,H,71,H"
"Maciej Langosz,481836071,,,,"
"Jedrzej Klinke,481844826,,,,"
"Leopold Marcinczyk,481836550,T56,T,56,T"
